card,reason
Aiden May,no_scp_url
Alfonsin Rosario,no_scp_url
Alfredo Alcantara,no_scp_url
Aneudis Mordan,no_scp_url
Anibal Salas,no_scp_url
Ariel Armas,no_scp_url
Bairon Ledesma,no_scp_url
Barrett Kent,no_scp_url
Ben Hess,no_scp_url
Bennett Lee,no_scp_url
Bernard Moon,no_scp_url
Billy Amick,no_scp_url
Blake Burke,no_scp_url
Blake Larson,no_scp_url
Blake Wright,no_scp_url
Boston Baro,no_scp_url
Boston Bateman,no_scp_url
Brady Cerkownyk,no_scp_url
Brandon Neely,no_scp_url
Braylon Doughty,no_scp_url
Brian Holiday,no_scp_url
Bryce Meccage,no_scp_url
Carlos Batista,no_scp_url
Carson DeMartini,no_scp_url
Carter Holton,no_scp_url
Carter Johnson,no_scp_url
Carter Mathison,no_scp_url
Casey Cook,no_scp_url
Casey Saucke,no_scp_url
Cesar Quintas,no_scp_url
Chandler Pollard,no_scp_url
Chase Harlan,no_scp_url
Chris Cortez,no_scp_url
Clayton Campbell,no_scp_url
Cole Mathis,no_scp_url
Cole Messina,no_scp_url
Connor Foley,no_scp_url
Cristopher Larez,no_scp_url
Daniel Eagen,no_scp_url
Dominic Pitelli,no_scp_url
Drew Beam,no_scp_url
Dylan Dreiling,no_scp_url
Eddie Rynders,no_scp_url
Eli Serrano,no_scp_url
Erick Bautista,no_scp_url
Erick Torres,no_scp_url
Ethan Schiefelbein,no_scp_url
Felix Taveras,no_scp_url
Fenwick Trimble,no_scp_url
Fraymi De Leon,no_scp_url
Gabriel Lara,no_scp_url
Gage Miller,no_scp_url
Gage Ziehl,no_scp_url
Gavin Dugas,no_scp_url
Griff O'Ferrall,no_scp_url
Griffin Burkholder,no_scp_url
Guillermo Williamson,no_scp_url
Herick Hernandez,no_scp_url
Ivan Luciano,no_scp_url
Iverson Allen,no_scp_url
Jacob Cozart,no_scp_url
Jaeden Calderon,no_scp_url
Jaime Ferrer,no_scp_url
Jancory De La Cruz,no_scp_url
Janero Miller,no_scp_url
Jaron DeBerry,no_scp_url
Javier Francisco,no_scp_url
Jeffry Rosa,no_scp_url
Jeremy Rodriguez,no_scp_url
John Spikerman,no_scp_url
Johnny King,no_scp_url
Jonathan Santucci,no_scp_url
Jorge Marcheco,no_scp_url
Josh Adamczewski,no_scp_url
Josh Caron,no_scp_url
Kalae Harrison,no_scp_url
Kannon Kemp,no_scp_url
Kavares Tears,no_scp_url
Kelvin Hidalgo,no_scp_url
Khal Stephen,no_scp_url
Kodey Shojinaga,no_scp_url
Kyle Henley,no_scp_url
Leiker Figueroa,no_scp_url
Levi Sterling,no_scp_url
Luis Suisbel,no_scp_url
Luke Holman,no_scp_url
Maikol Orozco,no_scp_url
Marco Corcho,no_scp_url
Marvin Alcantara,no_scp_url
Mason McGwire,no_scp_url
Milo Rushford,no_scp_url
Nate Dohm,no_scp_url
Nathan Flewelling,no_scp_url
Nehomar Ochoa Jr.,no_scp_url
Neyfy Castillo,no_scp_url
Nick McLain,no_scp_url
Nick Mitchell,no_scp_url
Nick Montgomery,no_scp_url
Parker Smith,no_scp_url
Peyton Graham,no_scp_url
Quincy Scott,no_scp_url
Rafe Schlesinger,no_scp_url
Randal Diaz,no_scp_url
Raudi Rodriguez,no_scp_url
Rodney Green,no_scp_url
Rolphy Cruz,no_scp_url
Ryan Campos,no_scp_url
Samuel Gil,no_scp_url
Stanley Consuegra,no_scp_url
Stone Russell,no_scp_url
Tavian Josenberger,no_scp_url
Thomas Ireland,no_scp_url
Thomas Sosa,no_scp_url
Trey Snyder,no_scp_url
Ty Southisene,no_scp_url
Tyson Neighbors,no_scp_url
Tytus Cissell,no_scp_url
Walker Martin,no_scp_url
Wilfredo Lara,no_scp_url
Will Bush,no_scp_url
Will Verdung,no_scp_url
Yaikel Mijares,no_scp_url
Yoffry Solano,no_scp_url
Yohairo Cuevas,no_scp_url
Yoiber Ocopio,no_scp_url
Yoniel Curet,no_scp_url
Yordanny Monegro,no_scp_url
Angel Cepeda,no_scp_url
Corey Cousin,no_scp_url
Darison Garcia,no_scp_url
Henry Baez,no_scp_url
Jadyn Fielder,no_scp_url
Javier Vaz,no_scp_url
Matthew Etzel,no_scp_url
Mavis Graves,no_scp_url
Natanael Yuten,no_scp_url
Nick Lorusso,no_scp_url
Sabier Marte,no_scp_url
Trevor Harrison,no_scp_url
Zander Darby,no_scp_url
Trey Dombroski III,no_scp_url
